### CMD: kubectl get pods -A -o wide
### TIME: 2026-02-09T10:28:07Z
NAMESPACE      NAME                                                    READY   STATUS              RESTARTS        AGE     IP              NODE                           NOMINATED NODE   READINESS GATES
cert-manager   cert-manager-cainjector-65c7bff89d-ckrcl                1/1     Running             0               4d1h    172.31.36.189   ip-172-31-46-51.ec2.internal   <none>           <none>
cert-manager   cert-manager-cbcf9668d-bzk68                            1/1     Running             0               4d1h    172.31.37.161   ip-172-31-46-51.ec2.internal   <none>           <none>
cert-manager   cert-manager-webhook-594cb9799b-th65c                   1/1     Running             0               4d1h    172.31.47.76    ip-172-31-46-51.ec2.internal   <none>           <none>
kserve         kserve-controller-manager-7fcb6875cc-vwzbr              2/2     Running             0               16m     172.31.89.249   ip-172-31-88-38.ec2.internal   <none>           <none>
kserve         kserve-localmodel-controller-manager-6b765cb8c9-twstc   1/1     Running             0               13h     172.31.80.9     ip-172-31-88-38.ec2.internal   <none>           <none>
kserve         kserve-storage-initializer-b48dc7cff-zr9cx              0/1     CrashLoopBackOff    24 (4m2s ago)   104m    172.31.87.182   ip-172-31-88-38.ec2.internal   <none>           <none>
kserve         llmisvc-controller-manager-56b987cc79-9n888             1/1     Running             0               13h     172.31.35.11    ip-172-31-46-51.ec2.internal   <none>           <none>
kube-system    aws-node-mx64t                                          2/2     Running             0               2d7h    172.31.46.51    ip-172-31-46-51.ec2.internal   <none>           <none>
kube-system    aws-node-spwtj                                          2/2     Running             0               2d7h    172.31.88.38    ip-172-31-88-38.ec2.internal   <none>           <none>
kube-system    coredns-54d6f577c6-rbkbb                                1/1     Running             0               4d18h   172.31.35.52    ip-172-31-46-51.ec2.internal   <none>           <none>
kube-system    coredns-54d6f577c6-wvc6h                                1/1     Running             0               4d18h   172.31.33.117   ip-172-31-46-51.ec2.internal   <none>           <none>
kube-system    kube-proxy-k57t6                                        1/1     Running             0               2d7h    172.31.88.38    ip-172-31-88-38.ec2.internal   <none>           <none>
kube-system    kube-proxy-rzlkr                                        1/1     Running             0               2d7h    172.31.46.51    ip-172-31-46-51.ec2.internal   <none>           <none>
kube-system    metrics-server-845d86dc79-nrfbf                         1/1     Running             0               4d17h   172.31.42.82    ip-172-31-46-51.ec2.internal   <none>           <none>
monitoring     grafana-5bb498d685-dd8js                                1/1     Running             0               2d6h    172.31.92.126   ip-172-31-88-38.ec2.internal   <none>           <none>
monitoring     kube-prom-stack-kube-prome-admission-create-hjrcq       0/1     ContainerCreating   0               2d7h    <none>          ip-172-31-46-51.ec2.internal   <none>           <none>
monitoring     prometheus-kube-state-metrics-74b688f8ff-pxlnd          1/1     Running             0               2d7h    172.31.85.94    ip-172-31-88-38.ec2.internal   <none>           <none>
monitoring     prometheus-prometheus-node-exporter-cdx8r               1/1     Running             0               2d7h    172.31.88.38    ip-172-31-88-38.ec2.internal   <none>           <none>
monitoring     prometheus-prometheus-node-exporter-lj7sb               1/1     Running             0               2d7h    172.31.46.51    ip-172-31-46-51.ec2.internal   <none>           <none>
monitoring     prometheus-prometheus-pushgateway-c9db77c9-tl5nk        1/1     Running             0               2d7h    172.31.94.110   ip-172-31-88-38.ec2.internal   <none>           <none>
monitoring     prometheus-server-744f6bdbfc-8fgdq                      2/2     Running             0               2d7h    172.31.80.108   ip-172-31-88-38.ec2.internal   <none>           <none>
