### CMD: kubectl -n kserve get events --sort-by=.lastTimestamp
### TIME: 2026-02-09T10:28:55Z
LAST SEEN   TYPE      REASON              OBJECT                                            MESSAGE
17m         Normal    Scheduled           pod/kserve-controller-manager-7fcb6875cc-vwzbr    Successfully assigned kserve/kserve-controller-manager-7fcb6875cc-vwzbr to ip-172-31-88-38.ec2.internal
17m         Normal    Created             pod/kserve-controller-manager-7fcb6875cc-vwzbr    Created container: manager
17m         Normal    ScalingReplicaSet   deployment/kserve-controller-manager              Scaled up replica set kserve-controller-manager-7fcb6875cc to 1
17m         Normal    SuccessfulCreate    replicaset/kserve-controller-manager-7fcb6875cc   Created pod: kserve-controller-manager-7fcb6875cc-vwzbr
17m         Normal    Pulling             pod/kserve-controller-manager-7fcb6875cc-vwzbr    Pulling image "kserve/kserve-controller:v0.16.0"
17m         Normal    Pulled              pod/kserve-controller-manager-7fcb6875cc-vwzbr    Successfully pulled image "kserve/kserve-controller:v0.16.0" in 144ms (144ms including waiting)
17m         Normal    Pulled              pod/kserve-controller-manager-7fcb6875cc-vwzbr    Container image "quay.io/brancz/kube-rbac-proxy:v0.18.0" already present on machine
17m         Normal    Started             pod/kserve-controller-manager-7fcb6875cc-vwzbr    Started container manager
17m         Normal    Created             pod/kserve-controller-manager-7fcb6875cc-vwzbr    Created container: kube-rbac-proxy
17m         Normal    Started             pod/kserve-controller-manager-7fcb6875cc-vwzbr    Started container kube-rbac-proxy
17m         Normal    Killing             pod/kserve-controller-manager-788cfdf94b-99r8c    Stopping container manager
17m         Normal    SuccessfulDelete    replicaset/kserve-controller-manager-788cfdf94b   Deleted pod: kserve-controller-manager-788cfdf94b-99r8c
17m         Normal    Killing             pod/kserve-controller-manager-788cfdf94b-99r8c    Stopping container kube-rbac-proxy
17m         Normal    ScalingReplicaSet   deployment/kserve-controller-manager              Scaled down replica set kserve-controller-manager-788cfdf94b to 0 from 1
16m         Normal    LeaderElection      lease/kserve-controller-manager-leader-lock       kserve-controller-manager-7fcb6875cc-vwzbr_fa3814cd-295a-4d85-a917-5259db1feb79 became leader
10m         Normal    Pulled              pod/kserve-storage-initializer-b48dc7cff-zr9cx    Container image "kserve/storage-initializer:v0.16.0" already present on machine
10s         Warning   BackOff             pod/kserve-storage-initializer-b48dc7cff-zr9cx    Back-off restarting failed container storage-initializer in pod kserve-storage-initializer-b48dc7cff-zr9cx_kserve(418a05d2-62fe-4296-aa44-0be51ec46684)
